COD_ETU,CNE,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
10010055,1028728984,,,,,0.75,NRA,1,2015,0.5,NRA,1,2015,10,V,1,2012,10,V,2,2014,15.6,V,1,2014,,,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,0,NRA,1,2015,,,1,2015,,,,,,,,
10048488,1129693558,7,NV,2,2015,4.575,NRA,1,2015,3.6,NRA,1,2015,10,V,2,2014,10,V,2,2014,13.5,V,1,2014,8.113,NV,2,2015,2.55,NRA,1,2015,1.2,NRA,1,2015,5.5,NV,2,2015,4.5,NRA,1,2015,11.2,V,1,2015,,,,,,,1,2015,,,,,,,,
10048648,1128733017,12.6,V,1,2013,10,V,2,2014,10,V,1,2014,17.1,V,1,2014,10,V,2,2013,13.1,V,1,2014,12.133,V,2,2014,0,NRA,1,2015,0,NV,2,2015,,,,,0,NRA,1,2015,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
10048680,1127922492,7,NV,2,2015,2.55,NRA,1,2015,2,NRA,1,2015,4.1,NRA,1,2015,6.5,NV,2,2015,12.5,V,1,2014,5.775,NV,2,2015,3.075,NRA,1,2015,2.85,NRA,1,2015,13.4,V,1,2014,12,V,1,2015,10,V,2,2015,1.2,NRA,1,2015,7.088,NV,2,2015,,,,,,,,
10048683,1129687020,7,AC,2,2014,8.48,AC,2,2014,7,AC,2,2014,14.4,V,1,2014,10,V,2,2013,15.3,V,1,2014,10.363,V,2,2014,7.975,AC,2,2015,10,V,2,2015,12,V,1,2014,14.4,V,1,2014,14.25,V,1,2014,10,V,2,2015,11.438,V,2,2015,,,,,,,,
10048707,1128730251,7,NV,2,2015,3.275,NRA,1,2015,3.2,NRA,1,2015,10,V,1,2014,10,V,2,2014,13,V,1,2014,7.746,NV,2,2015,,,,,1.1,NRA,1,2015,,,,,0.5,NRA,1,2015,7.6,NV,2,2015,,,,,,,1,2015,,,,,,,,
10048722,1129683115,7,NV,2,2015,1.05,NRA,1,2015,0.8,NRA,1,2015,13.6,V,1,2014,3.25,NRA,1,2015,12.35,V,1,2014,6.342,NV,2,2015,,,,,3.9,NRA,1,2015,,,,,,NV,2,2015,8.4,NV,2,2015,,,,,,,1,2015,,,,,,,,
10048737,1128732450,8,AC,2,2014,10,V,2,2014,7,AC,2,2014,13.8,V,1,2014,10,V,2,2013,11.8,V,1,2014,10.1,V,2,2014,7,AC,2,2015,10,V,2,2015,7,AC,2,2015,11.1,V,1,2014,10,V,2,2015,9,AC,2,2015,9.017,AC,2,2015,,,,,,,,
10048752,1129692040,2.8,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,10.3,V,1,2014,0,NRA,1,2015,14.175,V,1,2014,4.546,NV,2,2015,0,NRA,1,2015,0,NRA,1,2015,11.4,V,1,2014,0,NRA,1,2015,10,V,2,2014,0,NRA,1,2015,3.567,NV,2,2015,,,,,,,,
10048754,1129686958,8,NV,2,2015,3.95,NRA,1,2015,2.6,NRA,1,2015,10,V,2,2013,10,V,2,2015,15.025,V,1,2014,8.263,NV,2,2015,5.038,NV,2,2015,10.075,V,1,2014,10,V,2,2014,16.2,V,1,2014,18.4,V,1,2015,3.6,NRA,1,2015,10.552,NV,2,2015,,,,,,,,
11010738,1127709196,7.5,NV,2,2015,10.4,V,1,2015,10,V,2,2015,10.25,V,1,2013,6,NV,2,2015,13.1,V,1,2014,9.542,NV,2,2015,5.975,NV,2,2015,10,V,2,2015,8.25,NV,2,2015,10,V,2,2015,11.6,V,1,2015,10,V,2,2014,9.304,NV,2,2015,,,,,,,,
11011891,1128728982,,,,,,,,,0,NRA,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,,,,
11012531,1129693584,7,NV,2,2015,3.975,NRA,1,2015,7,NV,2,2015,10.4,V,1,2014,,NV,2,2015,13,V,1,2014,7.863,NV,1,2015,2.475,NRA,1,2015,0,NV,2,2015,0,NV,2,2015,,,,,10.8,V,1,2015,,,,,,,1,2015,,,,,,,,
11012544,1129691028,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
11012552,1127924490,,,,,,,,,,,,,0,NRA,1,2015,,,,,13.5,V,1,2014,,,1,2015,0,NRA,1,2015,0,NRA,1,2015,12.6,V,1,2014,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
11012553,1129687126,10.25,V,1,2015,10,V,2,2015,10,V,1,2015,10,V,2,2013,10,V,2,2014,13.45,V,1,2014,10.617,V,2,2015,7,AC,2,2015,9,AC,2,2015,10,V,1,2014,12.3,V,1,2014,10,V,2,2014,10,V,2,2014,9.717,AC,2,2015,,,,,,,,
11012556,1129686937,10,V,1,2013,0,NRA,1,2015,0,NRA,1,2015,10.3,V,1,2013,0,NRA,1,2015,13.05,V,1,2014,5.558,NV,2,2015,0,NRA,1,2015,0,NV,2,2015,10.1,V,1,2014,10.2,V,1,2014,0,NRA,1,2015,0,NRA,1,2015,3.383,NV,2,2015,,,,,,,,
11012941,1129690010,10,V,2,2015,10,V,2,2015,10,V,2,2014,12.5,V,1,2014,7,AC,2,2015,13,V,1,2014,10.417,V,2,2015,10.275,V,1,2015,10,V,2,2015,13.25,V,1,2015,10,V,1,2015,15.2,V,1,2015,10,V,1,2015,11.454,V,2,2015,,,,,,,,
11013302,1129687014,,,,,,,,,,,,,14.8,V,1,2014,1,NRA,1,2015,0,NRA,1,2015,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
11013318,1128728731,,,,,,,,,0,NRA,1,2015,0,NRA,1,2015,,,,,,,,,,,1,2015,,,,,,,,,,,,,,,,,,,,,0,NRA,1,2015,,,1,2015,,,,,,,,
11013346,1027873778,7,AC,2,2014,11.23,V,1,2014,10,V,2,2013,13,V,1,2014,12.6,V,1,2012,14.5,V,1,2014,11.388,V,2,2014,10,V,2,2014,10.875,V,1,2014,14.625,V,1,2015,15.5,V,1,2015,12.4,V,1,2015,7.65,AC,2,2015,11.842,V,2,2015,,,,,,,,
11013349,1028960650,7,NV,2,2015,7.5,NV,2,2015,2.8,NRA,1,2015,11.6,V,1,2014,10,V,2,2014,15.95,V,1,2014,9.142,NV,2,2015,7.05,NV,2,2015,9,NV,2,2015,12,V,1,2014,,,,,11.2,V,1,2015,7,NV,2,2015,,,1,2015,,,,,,,,
11013510,1028954422,10,V,2,2014,10,V,2,2014,7.5,AC,2,2014,9,AC,2,2014,10,V,2,2014,13.55,V,1,2014,10.008,V,2,2014,2.85,NRA,1,2015,0,NV,2,2015,14.5,V,1,2014,17.1,V,1,2014,5.2,NV,2,2015,7,NV,2,2015,7.775,NV,2,2015,,,,,,,,
11013773,1129688002,10,V,2,2014,7,AC,2,2014,7,AC,2,2014,14.3,V,1,2014,7.9,AC,2,2014,14.075,V,1,2014,10.046,V,2,2014,7,AC,2,2015,10.5,V,1,2014,10,V,2,2015,10,V,2,2014,12.8,V,1,2015,10.2,V,1,2014,10.083,V,2,2015,,,,,,,,
11013928,1129687148,10,V,2,2015,13.35,V,1,2015,10,V,1,2014,10.875,V,1,2013,10,V,2,2014,13.6,V,1,2014,11.304,V,2,2015,7,AC,2,2015,10,V,2,2014,10.8,V,1,2014,14.1,V,1,2014,10,V,1,2014,10.95,V,1,2014,10.475,V,2,2015,,,,,,,,
11015208,1129680378,9,AC,2,2015,10,V,2,2015,11.6,V,1,2015,10,V,1,2013,13.25,V,1,2015,10.425,V,1,2015,10.713,V,2,2015,7,AC,2,2015,10,V,2,2015,14.125,V,1,2015,9,AC,2,2015,18,V,1,2015,10,V,1,2015,11.354,V,2,2015,,,,,,,,
12009157,1210051619,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,0,NRA,1,2015,,,,,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
12010889,1210929004,7,NV,2,2015,10,V,2,2015,1.4,NRA,1,2015,11,V,1,2014,,NV,2,2015,13,V,1,2014,7.175,NV,1,2015,1.35,NRA,1,2015,0,NRA,1,2015,10.3,V,1,2014,15.9,V,1,2014,4,NRA,1,2015,0,NRA,1,2015,5.258,NV,2,2015,,,,,,,,
12011019,1127711936,10.65,V,1,2013,11.3,V,1,2014,7,AC,2,2014,13.4,V,1,2014,10,V,1,2013,13.05,V,1,2014,10.9,V,2,2014,7,AC,2,2015,9,AC,2,2015,11.9,V,1,2014,13,V,1,2015,12,V,1,2015,8,AC,2,2015,10.15,V,2,2015,,,,,,,,
12011023,1210928934,,,,,,,,,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
12011025,1210717121,,,,,,,,,,,,,,,,,,,,,0,NRA,1,2015,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
12011032,1210716889,7.6,AC,2,2015,15.38,V,1,2014,8,AC,2,2015,15.4,V,1,2014,10,V,2,2013,12,V,1,2014,11.397,V,2,2015,10.05,V,1,2015,2.95,NRA,1,2015,10.1,V,1,2014,17.7,V,1,2014,10.5,V,1,2014,5,NV,2,2015,9.383,NV,2,2015,,,,,,,,
12011046,1210713933,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,,,,,,,,,1,2015,,,,,,,,
